Temperature_C,Salinity_ppt,Optimal_Frequency_kHz,Optimal_Power_W
-1.1156,15.747,50.8022,1.1599
49.343,37.8311,68.9512,3.1074
7.3696,7.3977,52.537,0.9894
31.5146,20.6822,59.44,2.0193
12.4779,17.125,54.3205,1.5014
9.1247,12.2404,54.7796,1.2854
1.8129,32.6895,54.6541,1.8782
29.0195,23.1866,59.0925,2.0282
77.8426,8.9605,71.3599,1.9163
2.6359,15.5986,52.7626,1.3347
-3.2402,29.306,51.6585,1.7605
20.2138,28.4523,57.5274,2.1538
73.5765,23.4144,71.8979,2.8262
67.3745,40.7008,72.7294,3.5
-4.0907,16.2695,51.4019,1.2318
80.8181,45.5842,72.6563,3.5
35.7805,21.7699,60.3201,2.1054
-2.535,35.356,53.3608,1.8606
71.8752,45.4536,72.6755,3.5
82.1414,36.4517,72.165,3.5
9.1296,16.5697,53.8868,1.4751
37.169,48.3877,63.2078,3.2247
44.6814,10.6425,64.4157,1.637
23.3176,17.3182,57.5798,1.7442
48.089,47.3001,66.7929,3.5
83.3358,33.0086,71.3715,3.5
26.286,33.8572,58.865,2.441
19.7274,38.4205,54.9385,2.5354
10.9063,49.089,52.4021,2.553
55.2048,26.4258,67.8352,2.6549
11.3219,10.4743,53.3263,1.125
39.579,49.569,64.5832,3.3157
35.9873,15.303,59.7724,1.7542
67.5769,24.3205,70.8849,2.9327
62.2275,12.2032,68.3582,1.9765
23.2369,27.2672,57.382,2.2003
77.8008,31.5768,72.0872,3.4166
39.9052,30.5124,64.6649,2.5681
81.3079,12.6049,70.8654,2.1959
35.9368,21.195,61.1928,2.0035
52.1918,48.9228,68.4453,3.5
68.2375,24.4169,70.6402,2.7769
72.796,13.259,71.1189,2.0854
77.6444,35.8362,73.9728,3.5
46.35,41.5718,67.6548,3.2858
-7.1525,25.3892,52.8921,1.551
9.6637,17.0443,52.3331,1.4413
32.7591,18.4802,59.5275,1.8776
50.0668,12.7379,66.4675,1.7575
77.4732,25.7628,72.0173,3.1182
52.5728,43.9662,71.0102,3.3724
48.4454,34.1289,65.6481,3.0035
18.9383,44.6824,57.11,2.6519
45.1664,40.5644,68.5235,3.1481
73.8432,11.7663,72.0877,2.1666
69.9041,42.335,75.6084,3.5
23.0819,46.5766,57.1723,2.8599
77.4509,7.0354,70.1881,1.7786
82.8584,46.3506,73.2014,3.5
32.9818,6.0811,58.8199,1.2224
-3.2371,49.8757,55.3996,2.2117
30.7609,29.6477,59.6975,2.3481
-3.3631,35.1057,52.9573,1.9007
81.2253,41.1605,74.2741,3.5
4.2949,17.0113,50.768,1.3242
77.9757,35.7742,72.3443,3.5
83.4174,30.5717,73.3383,3.5
-0.6822,28.2644,51.404,1.7977
19.0941,35.5073,57.5041,2.3635
19.8184,12.4449,55.8187,1.2866
20.1059,14.6901,55.0473,1.4405
69.6319,6.6613,66.7814,1.6083
37.6369,41.6243,62.3846,3.0454
14.3735,24.0638,54.7159,1.8641
35.8863,21.3718,62.2889,2.1117
73.0196,11.1261,69.0302,1.9099
42.766,2.7067,61.7492,1.1399
17.5979,41.8504,55.8143,2.6104
33.5341,48.5957,59.5956,3.236
19.0248,49.9375,57.2727,2.6979
5.4884,46.3107,54.301,2.3716
1.1344,14.6739,52.0678,1.2399
82.7213,12.9444,70.0842,2.2526
5.1425,1.8616,51.9869,0.7334
16.9132,18.2713,54.9238,1.6028
6.3095,21.654,53.9421,1.6348
31.4434,23.5884,60.9475,2.1354
74.9825,16.2412,70.9049,2.2666
-0.2725,48.8979,53.4928,2.2887
57.3831,32.2745,70.4551,3.0788
-4.7046,23.3946,51.0966,1.5073
72.9391,41.1182,72.3029,3.5
84.7268,19.1887,71.7738,2.8324
33.5127,2.6296,59.9705,1.0405
22.4253,19.5638,55.0469,1.8353
30.0308,49.4252,61.7183,3.1243
42.7772,43.9782,65.6277,3.2314
5.4074,12.1728,53.1032,1.1696
71.168,21.8361,69.7813,2.7143
-0.4767,11.9364,51.3722,1.1903
48.5058,21.7304,65.1984,2.2165
83.6868,2.6708,72.4949,1.401
63.4133,42.1834,71.7745,3.5
12.6219,41.6525,54.4942,2.4241
11.6051,46.0917,55.3881,2.4525
46.9092,9.7163,63.8262,1.5566
2.4915,10.7772,51.8531,1.0709
32.6586,34.0489,60.5996,2.5803
64.447,42.271,73.5179,3.5
38.4486,11.5045,58.9401,1.5537
41.5125,46.8387,65.6368,3.2884
-1.5932,22.3812,54.0487,1.4566
-8.5375,48.443,53.4586,2.0364
82.6333,26.3687,72.5886,3.2512
63.6139,44.9135,73.3554,3.5
42.0213,23.2435,62.9121,2.2594
79.5076,8.4998,69.3516,1.8813
20.8931,24.0718,55.5884,1.9171
60.4896,48.9902,72.3964,3.5
54.0294,41.7128,68.8777,3.4833
19.9871,36.2178,55.7572,2.3034
28.7035,31.1289,59.5643,2.4987
45.8682,26.1042,65.1114,2.4975
-8.9554,34.0079,53.3419,1.723
70.8854,17.767,68.8174,2.3766
53.8972,11.1949,68.5794,1.7675
46.6529,12.451,64.21,1.6641
65.5799,38.3753,72.4132,3.5
38.5558,42.0838,62.695,3.0424
20.0924,42.3782,56.9539,2.6122
36.3829,12.4346,60.605,1.5142
66.6899,26.6539,71.9886,2.9412
14.322,25.6292,52.8913,1.9031
9.6017,32.4373,52.4776,2.0404
78.5153,32.9745,71.3838,3.434
-6.4105,22.4544,51.2698,1.3973
46.7065,25.9871,64.2996,2.5325
80.1809,29.255,70.6661,3.2618
42.4417,10.1861,63.0043,1.549
26.1381,33.9754,57.2395,2.5111
31.8725,25.3251,59.04,2.1637
76.9525,10.5528,69.2789,1.9645
34.0739,13.8435,60.5047,1.7041
16.4306,20.4007,55.3023,1.7534
-2.0938,37.8923,52.936,1.9484
-5.5649,35.6971,52.4455,1.7725
31.7863,5.7057,58.0848,1.1856
-0.0661,6.5918,49.9904,0.8599
-2.5008,39.3528,53.0176,2.0308
74.4672,41.6428,73.4877,3.5
42.6042,25.6695,63.4028,2.4169
78.7714,0.8939,69.2132,1.3255
68.1622,16.7007,70.2513,2.2585
40.3177,31.3815,64.1647,2.5961
69.462,33.9036,71.8652,3.3806
34.7555,4.4758,60.2426,1.1203
83.1702,38.2749,72.9162,3.5
76.1149,22.5538,71.5237,2.8113
-2.0651,3.8744,52.6297,0.7801
43.341,28.2782,65.4898,2.5573
18.2426,39.8274,55.6144,2.5302
55.2919,20.1209,67.9038,2.2692
56.7502,18.1623,67.2986,2.1976
83.0,19.5718,72.1903,2.7721
14.7046,24.5569,53.9343,1.8575
64.1448,44.3218,72.5975,3.5
3.6682,42.5453,52.3416,2.2382
82.1744,36.3928,72.8619,3.5
56.6043,45.8681,71.612,3.5
72.2031,47.0117,74.9424,3.5
10.981,40.0162,53.4822,2.3651
25.0679,41.47,58.5879,2.7167
29.2535,24.5101,57.8111,2.1913
64.9184,46.2306,74.2996,3.5
39.1757,17.2913,61.9836,1.926
22.5351,7.7685,55.6748,1.2075
16.0311,0.9163,52.9477,0.7358
-7.0485,48.3561,52.6667,2.1167
11.5434,3.7822,53.5277,0.8344
52.1014,49.9126,71.2248,3.5
62.3656,39.3182,70.9678,3.4711
4.6205,24.347,52.7722,1.7075
64.4551,45.8652,72.6848,3.5
24.6364,2.178,57.2497,0.9069
50.4291,32.8075,66.7986,2.9717
66.3052,8.7661,68.8438,1.7744
72.7968,44.8219,73.5847,3.5
5.9117,27.9138,53.5288,1.746
56.6487,3.4754,65.3865,1.2938
50.1619,7.2741,63.1592,1.4868
-7.9454,11.361,51.5299,0.9688
28.3464,43.3916,60.3406,2.8066
38.5052,19.7067,60.1988,2.0985
83.8634,48.5536,73.3123,3.5
53.2495,13.9435,66.128,1.9204
47.6384,0.699,62.4682,1.0324
57.4834,40.2369,69.4908,3.5
33.2459,21.9166,60.2279,2.0535
37.986,17.2491,61.5119,1.9274
70.8647,15.4965,70.4995,2.2734
10.4506,25.5498,54.2617,1.8583
2.9678,43.5152,52.6823,2.1583
-2.5305,1.9566,51.1205,0.6595
73.4604,33.8661,73.5598,3.4458
78.6458,38.7949,72.6899,3.5
73.6299,38.1115,74.0974,3.5
28.7166,33.9936,57.9849,2.5969
41.7583,49.9087,66.5179,3.4186
55.0878,23.5271,67.2293,2.4485
70.2964,35.6641,72.6435,3.5
65.5069,2.1986,67.742,1.1842
4.7985,21.3851,52.4085,1.6429
-4.5724,18.4158,52.056,1.22
2.6549,28.0949,51.5902,1.8424
58.1718,33.9357,71.0807,3.1494
54.4736,7.7959,67.5495,1.5887
4.3684,42.5546,53.817,2.2117
52.4572,12.3406,66.8677,1.7948
70.2544,21.2934,71.8858,2.6285
1.0076,48.9247,52.0855,2.2271
37.5589,46.5013,63.2179,3.2612
31.051,31.1295,60.3803,2.4137
0.2497,8.4071,51.9918,0.9104
-1.6804,32.9046,52.4067,1.8524
-8.1275,19.3646,53.3855,1.2481
63.7625,45.5306,73.5844,3.5
17.7607,17.5913,55.8799,1.5542
60.3297,36.8962,69.4314,3.3906
66.2087,37.6077,71.586,3.4947
22.3212,42.652,56.6105,2.6396
-8.8879,38.7414,55.8804,1.8819
53.1937,37.8276,69.7106,3.2774
0.0438,45.5585,52.2469,2.1991
75.2434,17.7231,70.3886,2.567
48.3774,16.4694,64.5241,1.9723
72.5045,35.8399,72.7495,3.5
-7.8105,4.0796,51.9075,0.6839
28.3371,29.0362,58.1605,2.3474
17.0629,5.529,53.3568,1.0449
-1.2173,18.2525,53.1127,1.4252
16.9587,21.6059,53.7324,1.7493
11.009,19.0392,54.2218,1.4374
67.5041,32.081,70.9485,3.2085
14.8588,3.8406,54.6512,0.893
68.7104,37.2784,74.1108,3.4908
33.5597,23.2983,60.0098,2.0592
56.3254,1.8627,64.3482,1.1948
32.6691,24.5101,59.2443,2.1947
67.3498,33.852,71.5527,3.3483
32.142,21.8134,59.1517,2.0118
-6.9843,11.8657,49.9859,1.0066
75.0446,37.1229,74.5949,3.5
49.3383,38.7199,68.6729,3.1193
6.5648,3.2417,52.7177,0.7222
44.8059,43.0256,66.9744,3.2884
1.4974,39.6615,53.2762,2.0758
34.2439,13.0244,58.6172,1.6307
16.0453,25.749,53.5083,2.0095
24.1248,12.9499,58.9064,1.4866
69.4312,35.6094,72.8222,3.5
74.2266,45.0793,74.0065,3.5
-5.7363,34.2838,53.0093,1.8476
82.7787,24.411,70.8415,3.0916
44.8997,43.5585,65.5282,3.2483
76.8041,2.9836,69.323,1.4139
27.3512,7.4986,56.911,1.1993
45.6518,38.9326,67.5268,3.1479
31.4267,26.0697,61.1656,2.2697
-9.4529,28.838,52.9625,1.4981
77.9883,15.8161,69.3055,2.4074
25.5986,29.9843,56.1371,2.2975
24.2451,4.9831,57.0264,1.0051
33.551,20.2328,58.8185,2.0355
77.9001,35.7385,73.7763,3.5
71.8914,23.1933,69.1782,2.8409
11.5171,12.1209,53.0645,1.2696
81.4842,36.1901,72.8778,3.5
66.5387,29.0553,70.8861,3.0534
-1.6394,36.0478,53.9654,1.9233
78.2082,18.8749,70.7394,2.5627
3.4162,9.3349,52.6433,1.0366
57.1274,8.5716,67.1719,1.6395
17.452,0.066,55.0209,0.7684
5.9865,41.8056,53.4185,2.2754
7.3673,31.5533,53.6291,2.0848
21.2886,46.1923,57.518,2.7666
75.2906,42.6311,74.7548,3.5
34.8168,32.5419,61.8537,2.6858
20.1067,35.2931,55.8815,2.3367
10.4891,45.2544,55.3243,2.4813
41.4915,19.674,61.5898,2.1645
8.6663,43.3673,53.7228,2.3944
22.8589,10.3373,55.7907,1.3101
78.2199,47.7077,73.6066,3.5
67.0669,1.4456,68.7134,1.3231
65.2,9.3706,67.0953,1.7668
14.3704,22.3946,55.5319,1.8072
25.7496,34.1092,56.6577,2.4023
17.3032,40.4059,57.0808,2.5003
77.3248,21.6352,70.1709,2.8055
15.1719,5.2609,53.6308,1.0404
66.3624,4.6423,68.4298,1.4266
83.8718,46.8073,74.4266,3.5
41.7328,19.6724,64.2721,2.1133
57.425,6.188,66.9787,1.4835
38.7034,17.2251,61.1519,1.943
-8.4682,12.1885,51.4905,1.1173
38.1873,13.0058,60.5929,1.5985
-2.708,27.729,53.2557,1.6971
44.1063,39.5787,66.6427,3.0738
19.8093,16.4101,55.9882,1.6168
-9.2297,29.7775,52.6434,1.4931
33.6605,25.7384,59.9249,2.2185
57.4731,33.5093,69.2227,3.0906
81.3017,14.5788,69.2972,2.2657
37.2316,8.7139,60.367,1.4291
22.7281,6.7614,55.8143,1.2005
71.5038,34.4198,71.1823,3.5
52.6535,14.8672,64.4561,1.9188
-2.032,47.6953,51.7209,2.1959
50.2195,14.2315,63.9736,1.9015
74.6126,43.8494,73.4811,3.5
2.1975,16.808,52.9716,1.386
63.4198,16.3012,69.5677,2.2291
69.3482,34.01,73.1509,3.3111
-4.4465,20.3269,51.421,1.3908
66.4863,46.6808,72.4358,3.5
52.39,14.1163,65.6272,1.8848
60.1787,16.5454,68.0187,2.216
47.8101,43.8424,67.8322,3.3875
27.5381,10.8833,57.2182,1.3916
3.3525,44.0053,52.904,2.2968
-0.1353,18.2114,50.3186,1.487
7.7434,33.9271,53.3784,2.1427
25.842,13.2772,57.0689,1.6224
11.7432,16.7525,53.2645,1.5593
5.6073,14.4969,51.1426,1.332
26.4818,32.6565,57.5887,2.5015
30.9436,24.478,57.6935,2.0446
84.4836,26.2188,72.1325,3.0846
-7.7018,4.7493,49.6196,0.722
52.2664,46.524,69.7927,3.5
19.0298,46.7228,56.3128,2.6033
20.9026,44.4496,58.2991,2.7693
23.4067,47.1752,57.3793,2.8031
65.1187,34.782,70.6981,3.2979
23.4711,11.5187,55.9267,1.3444
33.863,14.6165,61.1949,1.7187
70.1962,9.5938,70.5156,1.8524
80.0103,14.5793,71.225,2.3264
17.9221,10.5791,54.8607,1.3135
55.9866,35.3347,68.1719,3.238
33.7338,26.8215,61.3609,2.211
23.938,6.2989,56.0077,1.1253
22.1354,38.9198,57.2468,2.5937
76.5232,11.6297,71.5984,2.1036
0.3815,12.6542,51.8824,1.1223
-7.3551,26.3249,52.4782,1.4267
2.0747,15.0289,51.4005,1.2511
4.9626,12.5251,53.2694,1.1354
37.8585,15.2998,60.8018,1.7398
56.1608,35.1018,70.2297,3.1224
45.8406,42.8349,66.9807,3.3361
71.5808,21.163,71.0454,2.6517
26.9243,12.9079,57.1849,1.5275
25.6555,32.383,58.7265,2.3757
72.4317,44.6989,74.8263,3.5
67.3037,44.914,72.9552,3.5
78.871,11.0832,69.4846,2.0454
8.6619,8.1661,52.174,0.9791
0.4147,13.6601,51.8819,1.2462
-6.729,15.2579,51.6885,1.1773
76.268,19.9178,70.3972,2.623
35.2789,48.9,64.4728,3.3087
40.8986,19.5833,63.9135,2.1397
7.6446,10.9962,51.9203,1.0905
67.6034,27.4269,69.9592,2.8995
37.6776,49.4961,62.7826,3.264
14.0375,23.6846,55.5388,1.725
16.6432,3.1125,53.197,0.8767
54.2369,27.67,69.0675,2.6913
21.5833,33.7677,56.351,2.3127
42.8641,35.2448,65.6276,2.889
64.5811,27.1851,68.6119,2.9751
-3.0901,24.5707,51.5064,1.5697
-4.5848,1.3029,49.5919,0.6762
10.9424,5.1749,53.0131,0.957
78.3213,35.2212,72.3711,3.5
80.5642,29.8575,73.2876,3.3424
66.5629,45.2745,74.4774,3.5
63.0,35.0193,71.4733,3.2287
70.1256,40.0656,74.0398,3.5
31.8717,13.7688,59.8158,1.6522
43.7458,0.7707,61.1517,0.9593
37.3286,1.3816,60.0289,1.0061
20.6222,44.7573,55.8767,2.6599
60.5141,15.5623,69.4086,2.0806
41.1475,46.3114,65.1571,3.168
34.0783,4.238,58.5903,1.0491
77.4108,48.7741,75.4499,3.5
44.3699,44.9683,66.0782,3.3466
78.5512,20.4244,72.0173,2.7561
27.1906,21.6002,57.7224,1.9246
55.7741,17.8083,66.4579,2.1369
25.8495,20.8868,57.9334,1.9291
45.7499,42.2213,67.0368,3.2422
15.0084,39.2231,55.1814,2.4718
28.8867,22.0072,58.7785,2.0566
54.1149,47.0706,70.8471,3.5
5.3556,3.2219,50.9992,0.7363
14.4497,46.537,55.482,2.4723
80.3077,11.8659,71.0215,2.1525
50.5057,11.5211,65.7041,1.7385
-1.1633,18.0845,51.4175,1.2478
42.6953,21.1762,62.2997,2.1827
27.3443,39.5204,59.4842,2.6838
75.001,24.6647,70.1304,2.9517
58.4317,37.2977,72.7564,3.2322
35.2615,6.0876,60.2402,1.1616
19.6136,20.393,57.6855,1.7485
27.4171,11.8849,56.4731,1.5201
39.6385,43.1933,63.3938,3.1654
22.6009,14.0777,57.6349,1.5568
12.5027,12.6848,53.9174,1.3763
9.9602,3.6692,53.2499,0.858
-2.9215,41.4325,55.7231,1.9776
6.4821,18.6631,53.9728,1.5255
13.7461,42.2981,54.001,2.451
49.9982,18.5901,66.1936,2.1962
57.8961,15.1125,66.473,2.1138
74.0441,48.1904,74.2364,3.5
50.4554,24.9204,67.7986,2.4286
33.7697,36.1873,61.2701,2.6548
59.6934,21.8999,69.4661,2.611
38.2024,0.929,59.1151,0.9996
45.0969,21.4125,66.995,2.2121
21.9497,44.4543,58.975,2.7052
-4.8004,4.7843,50.6822,0.7564
78.7181,26.5124,72.2805,3.1249
24.4073,11.8478,55.3969,1.4182
84.3506,30.2281,73.1908,3.4337
31.8141,23.1751,59.2466,2.0894
56.2941,32.3005,70.605,3.0144
-6.6168,20.0719,52.096,1.2956
3.824,14.2172,52.2491,1.3148
37.8246,37.4159,62.1937,2.7866
14.4241,19.4081,53.4273,1.5552
0.9095,44.1371,53.3579,2.1966
84.1111,20.6527,70.2679,2.7744
63.2757,41.7286,73.9402,3.5
36.2728,6.8531,60.3683,1.2826
11.6157,30.3089,52.3105,1.9493
6.2398,27.3003,53.0064,1.8486
15.3455,41.4063,55.9476,2.4489
39.491,21.749,61.9369,2.201
83.4905,16.3774,72.044,2.4929
28.9997,27.5765,58.1982,2.1532
53.3984,22.7853,67.8998,2.4653
19.9526,38.7658,57.5363,2.4251
54.188,40.3105,69.2175,3.3173
24.3021,19.4183,56.5474,1.8008
17.6662,6.1846,56.0504,1.0084
33.7825,11.1489,57.7548,1.5337
-7.7478,49.8848,54.1052,1.9963
66.9746,43.9311,74.2216,3.5
50.4609,33.2172,68.6702,2.8713
30.0627,33.4749,58.848,2.5245
70.7802,30.2355,72.6543,3.2363
-4.1065,42.7814,52.8865,2.003
79.3219,5.0184,70.0492,1.6021
83.1616,48.3582,75.3988,3.5
38.056,16.5953,61.7465,1.8254
73.503,39.8744,73.5075,3.5
8.7448,3.1565,52.0585,0.7778
19.4852,0.8029,54.3624,0.755
67.6218,23.7963,70.8431,2.7932
44.4766,14.4333,63.0626,1.8319
-7.5825,7.8131,49.6941,0.8545
58.0577,21.8145,68.5797,2.4175
-8.2795,8.6687,50.0327,0.8684
35.9022,7.6873,58.8897,1.3952
0.9891,29.8476,53.5369,1.815
59.4922,27.6473,71.2161,2.8884
48.9882,31.4091,67.0,2.8272
52.6452,26.1987,69.5616,2.5536
27.8183,2.1456,58.6875,0.8448
-1.628,31.7826,52.3103,1.7905
41.957,39.601,65.6171,3.0356
43.8275,28.4385,65.0512,2.6325
6.3585,19.1758,53.0577,1.4859
60.2501,21.9535,69.1765,2.5699
64.4038,4.2338,66.3385,1.3424
-4.6512,1.0118,49.4689,0.6474
59.6662,38.4929,71.0407,3.4314
34.8869,10.6961,60.4303,1.5393
53.1008,37.8741,68.4768,3.2534
0.437,20.9919,51.8722,1.3823
63.6473,37.4638,71.5887,3.499
26.4006,37.0259,58.0505,2.5668
20.8098,29.8531,55.8342,2.1296
41.6296,26.1393,64.4491,2.3575
66.8583,30.0279,71.0032,3.0866
16.594,14.6202,55.7011,1.4858
78.6995,27.0715,72.0729,3.1422
-2.7922,49.965,52.4172,2.2483
67.9609,39.198,73.0594,3.5
83.326,38.5903,73.0613,3.5
14.0128,25.7251,55.6231,1.9794
65.3598,15.089,68.9123,2.1261
49.9376,20.9935,66.006,2.3289
-8.5751,18.8559,51.5867,1.1601
42.7531,1.4432,61.24,0.969
28.7389,8.5377,56.4605,1.2745
-8.6748,39.3917,53.3717,1.9309
45.2541,20.035,63.9042,2.112
14.8104,43.5024,55.8925,2.514
70.8046,45.5635,72.7975,3.5
25.1967,2.4075,55.062,1.0669
67.8428,48.9112,74.6157,3.5
60.4065,44.3909,71.3955,3.5
50.66,21.1793,68.4829,2.2789
70.7461,23.4113,70.168,2.8384
34.5607,9.6518,58.5696,1.4193
12.5562,30.5321,54.9434,2.0882
73.95,44.4857,75.3588,3.5
-1.6926,21.7301,51.8036,1.4604
-0.6858,2.2786,52.5649,0.5917
-3.263,18.5949,52.2937,1.4448
64.4003,9.3342,67.7777,1.9343
80.2891,31.381,74.1119,3.4771
56.2598,18.3916,67.9206,2.2442
33.129,47.2087,61.0713,3.1576
12.9878,39.9505,54.404,2.3656
12.1901,15.9282,52.9084,1.3291
17.0927,26.4172,57.2668,2.0789
49.8518,44.5934,70.5162,3.452
12.9182,46.6406,56.7286,2.4339
71.801,8.0114,68.3664,1.8589
71.5122,32.4522,73.7954,3.3747
25.5813,18.682,56.5205,1.7427
32.0002,21.2169,61.9081,2.0623
34.0221,17.7314,61.3643,1.8643
40.4611,20.7958,62.8087,2.1231
29.4986,48.7895,59.2085,3.0922
30.6432,18.0545,58.0785,1.8776
37.1427,1.6418,61.0454,0.9873
21.7019,36.1645,56.1222,2.4275
58.0652,45.1053,70.9441,3.5
6.9415,47.051,53.4845,2.4469
75.3633,28.0135,72.0209,3.0727
68.9088,14.2567,70.8734,2.1031
58.3962,33.4945,70.0681,3.1715
8.2953,33.5667,53.9831,2.0011
-8.3325,22.849,52.1443,1.3833
59.5676,23.2544,69.4833,2.5266
45.8001,3.8051,62.7039,1.2242
-6.0484,15.8237,52.8854,1.2657
49.363,18.4339,66.101,2.1249
80.1817,13.3876,69.7341,2.1601
-7.8972,30.3374,52.1537,1.6832
49.9807,34.9689,69.2838,3.0483
67.6247,28.9682,71.5913,3.0847
43.7559,34.3803,65.3064,2.8965
25.8947,4.8627,56.9484,1.0533
82.5055,2.3259,69.2637,1.4303
31.0217,33.9679,60.9128,2.5996
53.585,31.6855,68.1305,2.9778
33.9334,47.9992,62.9912,3.1832
57.8668,2.8444,65.8381,1.1942
81.1921,16.2999,71.8275,2.4606
-6.5278,35.4364,54.2112,1.9262
73.5364,17.2986,70.0673,2.5277
59.8274,35.7837,68.9888,3.2608
-6.299,27.5472,50.6475,1.5763
68.8531,13.3824,68.6699,2.1438
60.1865,31.3448,70.7892,2.99
24.8138,20.1366,57.12,1.7182
-9.023,20.6496,49.1879,1.2711
18.0353,4.9647,56.5429,0.9073
29.5679,11.679,57.6164,1.5479
58.6572,30.2036,69.7745,2.9789
-1.0171,37.3057,51.8802,1.9429
19.9596,19.0288,55.8279,1.6541
64.1202,10.4869,68.5449,1.8051
3.0118,34.5966,51.249,1.9528
28.218,15.7893,58.3594,1.6594
51.7078,14.9996,65.2452,2.0217
38.0953,30.0736,62.2748,2.5264
49.9848,24.184,66.6585,2.4475
-6.2673,24.9312,52.777,1.4587
49.2584,34.0577,66.7558,2.9651
83.008,49.6999,73.1726,3.5
60.0562,0.2826,68.6427,1.0673
31.0215,21.6021,59.9203,2.0084
-5.2439,16.5456,50.5106,1.206
80.5174,3.6342,70.6384,1.5961
73.5244,21.4536,70.89,2.6488
26.1846,33.9452,59.2526,2.4932
41.2234,46.8896,65.8346,3.3605
3.9805,26.8692,51.4271,1.6933
42.947,9.2583,61.3354,1.5058
7.7261,48.8808,53.388,2.4646
69.1967,11.5984,70.6869,1.9607
51.8076,23.4041,67.4641,2.4089
68.6131,22.2191,70.0177,2.6754
51.9096,23.099,66.0108,2.4808
67.9807,30.4149,71.6815,3.1371
16.1431,1.7182,54.2154,0.7405
8.2868,21.7646,54.4032,1.6831
32.5753,32.6128,60.1005,2.5185
70.2002,25.7868,69.5894,2.9109
75.4286,38.0841,72.5026,3.5
-6.4071,48.5739,52.9449,2.0677
65.838,31.1871,72.0295,3.2255
30.3752,40.1712,57.9781,2.747
23.5589,18.6732,57.6384,1.7332
36.7282,32.9833,63.1263,2.6706
43.071,17.7725,65.0201,1.9662
78.1954,36.7327,72.901,3.5
50.8917,0.4387,62.3439,1.0061
71.5581,37.8969,71.9527,3.5
10.0171,20.3086,53.0719,1.6263
57.8331,48.4675,71.2439,3.5
76.3013,23.7825,71.8821,2.9866
55.4992,36.5353,70.7148,3.1584
-1.7381,29.3134,54.4137,1.6473
17.1301,7.3579,57.2903,1.0517
-6.2179,8.7418,50.8917,0.9033
24.078,20.201,55.5863,1.7879
34.4297,31.3427,60.3164,2.5159
15.4597,27.5383,54.9379,2.001
62.1544,28.5991,69.1762,2.9878
18.8059,37.3209,54.2884,2.3179
70.3235,31.2604,70.9447,3.2896
22.5513,44.4572,57.3504,2.7425
34.3358,24.523,61.582,2.1711
2.4425,37.3883,51.0311,2.0476
8.9307,29.0896,54.1725,1.8735
82.9437,44.4054,73.8496,3.5
