Temperature_C,Salinity_ppt,Optimal_Frequency_kHz,Optimal_Power_W
32.71,0.915,47.31,2.647
55.06,0.126,81.65,1.193
39.62,0.418,56.45,1.686
35.6,0.345,48.58,1.295
31.22,0.498,44.09,1.556
47.73,0.458,73.25,1.793
50.33,0.519,74.89,1.944
30.5,0.14,44.77,0.599
45.36,0.513,68.76,1.926
36.79,0.242,51.54,1.029
49.36,0.184,74.39,1.174
35.23,0.065,49.65,0.448
50.73,0.763,75.88,2.614
41.6,0.427,64.85,1.683
58.1,0.627,89.24,2.339
34.13,0.728,51.0,2.203
40.23,0.679,58.74,2.055
33.4,0.471,50.63,1.44
57.74,0.388,87.75,1.889
56.32,0.376,85.63,1.742
37.74,0.64,55.21,2.201
49.8,0.495,76.32,1.968
54.52,0.849,86.15,2.956
46.66,0.875,70.56,2.734
45.89,0.171,63.61,1.013
37.26,0.136,53.59,0.727
32.79,0.63,45.1,1.847
56.92,0.301,85.18,1.645
57.01,0.019,82.44,0.956
48.99,0.889,78.16,2.933
40.17,0.227,56.85,1.004
40.48,0.929,64.55,2.859
51.78,0.717,78.12,2.376
56.91,0.763,89.64,2.851
56.61,0.201,87.91,1.232
53.4,0.234,76.7,1.264
49.26,0.521,74.53,1.998
32.52,0.172,50.57,0.797
34.85,0.305,49.72,1.155
56.96,0.321,85.18,1.554
48.19,0.16,71.64,1.154
30.28,0.205,41.75,0.684
33.04,0.789,46.19,2.214
49.91,0.167,75.12,1.108
30.15,0.028,40.0,0.273
34.82,0.629,50.66,2.068
46.46,0.976,74.61,2.975
50.76,0.331,74.49,1.668
49.56,0.119,70.62,1.071
36.73,0.57,55.95,1.959
51.37,0.906,77.92,3.0
37.12,0.784,53.65,2.409
39.76,0.623,59.9,1.97
52.39,0.315,77.36,1.527
49.49,0.542,71.95,1.999
55.48,0.091,82.58,0.981
49.73,0.679,76.57,2.404
47.05,0.725,70.91,2.429
32.81,0.965,49.7,2.709
41.03,0.26,60.15,1.152
37.96,0.018,55.22,0.549
37.32,0.546,54.42,1.887
59.19,0.707,92.25,2.523
41.79,0.79,64.74,2.488
56.76,0.194,85.74,1.308
48.93,0.262,71.94,1.238
53.84,0.513,79.4,2.049
45.08,0.331,65.19,1.44
47.31,0.861,73.54,2.839
44.78,0.474,70.12,1.786
35.86,0.8,53.2,2.346
51.67,0.581,79.77,2.346
38.42,0.773,57.46,2.468
30.73,0.333,43.38,1.19
49.36,0.831,79.0,2.846
35.31,0.275,51.68,1.112
58.21,0.546,85.94,2.332
58.62,0.214,85.93,1.412
57.45,0.476,89.28,2.038
41.1,0.318,59.96,1.368
30.46,0.267,40.04,1.102
57.85,0.967,88.72,3.0
42.85,0.16,62.92,1.005
59.0,0.787,93.11,2.89
58.91,0.984,92.19,3.0
55.59,0.02,86.01,0.94
38.83,0.699,59.98,2.328
41.55,0.253,59.52,1.144
55.53,0.04,79.47,1.017
39.51,0.403,55.68,1.525
35.08,0.935,54.42,2.792
46.7,0.012,65.82,0.774
58.08,0.588,91.81,2.391
50.88,0.501,79.35,2.044
47.1,0.873,73.87,2.794
32.92,0.084,42.81,0.688
48.45,0.682,72.27,2.428
59.7,0.68,94.11,2.604
34.2,0.669,49.61,2.145
45.55,0.942,72.78,3.0
56.32,0.823,88.0,2.791
52.22,0.042,75.91,0.785
50.91,0.471,74.88,2.111
51.07,0.398,75.92,1.751
40.78,0.31,59.5,1.306
38.81,0.451,58.87,1.595
54.28,0.384,79.38,1.843
54.3,0.432,80.95,2.076
56.01,0.979,87.58,3.0
57.4,0.089,85.69,1.062
45.34,0.922,68.26,2.884
45.05,0.48,64.32,1.86
53.95,0.624,83.41,2.436
49.5,0.83,73.14,2.895
51.06,0.36,78.43,1.684
53.87,0.43,80.47,2.055
56.7,0.41,82.08,1.812
40.14,0.375,57.51,1.373
41.27,0.926,64.34,2.957
32.82,0.829,48.42,2.439
47.35,0.109,68.45,0.809
31.08,0.108,43.85,0.567
43.97,0.428,64.51,1.669
46.28,0.099,64.76,0.821
38.6,0.619,56.87,1.938
47.72,0.144,72.05,0.997
30.92,0.522,47.97,1.539
31.12,0.007,40.0,0.391
54.68,0.317,83.57,1.43
40.81,0.677,61.85,2.216
33.81,0.484,50.85,1.628
45.67,0.978,69.84,3.0
53.1,0.874,78.67,3.0
36.47,0.359,53.68,1.218
48.69,0.045,68.29,0.731
32.56,0.846,46.39,2.439
31.55,0.911,45.31,2.666
45.94,0.821,71.63,2.688
46.22,0.128,67.0,1.116
49.12,0.998,78.15,3.0
51.78,0.259,77.74,1.271
59.28,0.724,90.34,2.839
45.49,0.908,70.09,2.765
39.69,0.236,55.89,1.138
53.86,0.908,83.2,2.969
38.12,0.309,52.92,1.071
43.17,0.976,67.71,2.974
32.35,0.281,47.6,1.122
30.76,0.953,45.3,2.601
58.88,0.054,89.09,1.058
55.08,0.709,84.61,2.636
50.88,0.532,77.08,1.946
42.27,0.478,59.1,1.722
35.2,0.223,46.04,1.089
34.69,0.706,52.03,2.21
37.51,0.191,54.74,0.906
46.48,0.553,68.34,2.045
51.44,0.253,79.16,1.307
49.81,0.956,78.89,3.0
38.4,0.029,51.79,0.629
58.65,0.2,87.09,1.382
52.14,0.242,81.83,1.367
46.63,0.414,66.61,1.588
48.35,0.233,71.82,1.141
42.59,0.491,62.44,1.75
37.43,0.872,58.54,2.623
40.68,0.712,63.89,2.379
52.74,0.58,79.08,2.278
30.43,0.089,43.46,0.546
33.48,0.694,54.18,2.2
31.38,0.166,43.34,0.668
31.22,0.786,48.24,2.377
55.66,0.25,81.38,1.375
51.11,0.417,76.32,1.864
44.23,0.35,64.51,1.46
32.94,0.859,51.44,2.346
44.75,0.127,66.77,0.97
44.2,0.566,65.9,2.063
35.2,0.142,52.23,0.723
43.02,0.705,68.11,2.293
41.96,0.905,66.25,2.789
48.48,0.435,71.14,1.602
49.05,0.488,72.19,1.712
31.36,0.927,46.11,2.75
41.24,0.521,63.01,1.761
48.78,0.488,70.54,2.043
45.09,0.578,68.97,2.157
55.69,0.689,83.08,2.662
49.76,0.107,73.91,0.91
34.89,0.821,52.78,2.322
32.12,0.436,48.67,1.344
49.27,0.072,73.55,0.831
30.8,0.786,48.86,2.092
47.57,0.377,73.3,1.556
58.21,0.1,86.02,1.099
47.26,0.634,69.11,2.126
41.65,0.88,61.81,2.65
49.3,0.888,72.03,2.888
43.75,0.958,65.57,2.998
46.37,0.868,71.53,2.725
58.24,0.002,84.08,0.894
41.58,0.38,60.45,1.493
58.84,0.819,92.03,2.927
57.16,0.366,85.05,1.707
35.87,0.602,50.76,1.815
32.08,0.606,46.86,1.993
33.02,0.365,45.23,1.323
30.55,0.904,45.76,2.653
32.83,0.503,50.24,1.608
50.49,0.465,75.03,1.859
32.14,0.998,52.94,2.876
39.57,0.494,61.14,1.578
55.35,0.178,80.47,1.164
30.7,0.513,41.97,1.533
54.43,0.814,83.87,2.787
38.46,0.777,60.5,2.341
33.54,0.789,49.42,2.369
50.9,0.708,79.51,2.495
48.87,0.254,74.13,1.424
56.32,0.862,85.74,3.0
52.05,0.893,79.29,2.874
54.1,0.194,81.16,1.279
38.46,0.13,54.62,0.807
35.32,0.976,53.0,2.844
52.52,0.868,80.54,2.834
54.21,0.893,83.95,2.944
59.72,0.886,89.73,3.0
42.38,0.542,64.59,1.826
41.16,0.646,60.78,2.152
53.29,0.545,74.97,2.11
40.22,0.051,56.62,0.644
57.92,0.746,87.67,2.646
55.75,0.505,87.61,2.091
42.87,0.648,63.31,2.106
52.53,0.503,76.86,2.02
52.64,0.492,80.18,2.089
33.09,0.172,44.66,0.812
57.08,0.279,83.44,1.564
45.16,0.159,66.22,1.066
54.79,0.196,78.76,1.173
39.6,0.973,58.29,3.0
56.87,0.153,87.36,1.136
41.68,0.269,61.46,1.277
30.33,0.591,43.54,1.843
57.16,0.61,87.11,2.297
32.74,0.154,46.32,0.82
39.58,0.794,62.04,2.516
58.5,0.785,88.8,2.984
58.52,0.237,87.79,1.479
47.2,0.289,68.24,1.357
48.96,0.938,75.58,2.983
43.45,0.826,66.8,2.494
38.8,0.698,58.25,2.195
39.86,0.082,57.74,0.681
50.18,0.418,75.76,1.77
52.57,0.559,76.45,2.036
53.75,0.187,76.4,1.224
53.69,0.448,79.85,1.94
32.74,0.601,51.64,1.911
44.83,0.327,63.99,1.266
31.73,0.781,47.03,2.343
46.49,0.84,70.35,2.711
43.25,0.324,62.03,1.359
56.63,0.839,88.0,2.74
40.53,0.104,60.27,0.889
33.51,0.838,51.56,2.479
34.29,0.153,46.17,0.645
52.85,0.083,82.56,0.994
48.55,0.642,73.68,2.303
33.03,0.472,46.53,1.638
32.52,0.908,52.31,2.595
51.03,0.363,74.89,1.63
32.18,0.287,48.54,1.01
54.66,0.501,80.71,2.093
51.19,0.456,79.5,1.801
32.44,0.344,46.37,1.138
32.55,0.694,50.82,2.08
59.6,0.76,95.72,2.693
41.23,0.853,60.82,2.785
41.12,0.973,66.18,3.0
54.38,0.267,77.8,1.418
58.42,0.716,87.67,2.548
59.58,0.394,88.09,1.904
52.6,0.677,81.23,2.406
41.29,0.476,60.98,1.81
32.51,0.994,49.64,2.772
53.31,0.729,81.97,2.632
46.75,0.952,73.7,3.0
42.73,0.835,66.71,2.588
57.19,0.903,91.11,3.0
33.34,0.814,53.86,2.473
44.78,0.459,66.36,1.75
30.34,0.252,41.01,0.944
44.06,0.37,65.94,1.437
31.69,0.02,40.54,0.476
33.56,0.524,47.49,1.765
33.53,0.505,50.67,1.6
49.48,0.525,74.07,1.993
52.38,0.974,79.24,3.0
47.5,0.911,70.49,2.838
58.87,0.162,87.25,1.33
41.25,0.369,62.49,1.402
38.57,0.424,58.52,1.674
56.06,0.361,84.08,1.728
36.71,0.798,59.54,2.531
58.9,0.524,89.17,2.127
30.36,0.572,43.74,1.638
59.1,0.853,86.54,2.996
31.29,0.806,46.01,2.362
56.73,0.132,85.27,1.124
45.83,0.714,72.74,2.462
59.79,0.435,88.61,1.968
32.21,0.295,46.23,0.914
46.62,0.05,68.98,0.802
59.08,0.487,89.47,2.029
45.69,0.355,62.67,1.474
48.88,0.252,72.21,1.431
50.87,0.695,79.09,2.596
43.64,0.769,64.54,2.45
48.83,0.245,71.08,1.335
47.53,0.049,66.03,0.73
57.03,0.849,83.21,2.94
31.36,0.01,44.3,0.304
38.43,0.937,59.1,2.673
58.51,0.628,92.58,2.447
56.71,0.322,86.38,1.662
43.67,0.246,62.64,1.136
48.6,0.009,69.65,0.782
38.32,0.235,55.86,1.02
35.64,0.138,51.79,0.706
43.91,0.612,66.58,2.151
40.6,0.167,60.17,0.805
47.51,0.529,70.59,2.044
32.33,0.59,45.28,1.79
59.23,0.298,88.43,1.709
59.59,0.035,87.96,1.082
50.94,0.037,71.33,0.863
46.08,0.026,63.22,0.623
39.29,0.739,60.19,2.233
54.41,0.318,80.16,1.469
50.54,0.796,77.31,2.79
34.88,0.432,49.68,1.466
57.33,0.453,89.48,1.931
54.68,0.513,85.08,2.065
58.49,0.713,87.39,2.739
51.77,0.274,75.41,1.481
48.4,0.122,71.87,1.007
42.55,0.556,64.62,1.992
57.98,0.327,86.65,1.691
55.98,0.442,81.95,1.95
31.36,0.647,44.69,1.962
30.79,0.494,43.2,1.551
41.29,0.62,62.35,2.137
54.32,0.544,85.58,2.176
59.62,0.74,90.45,2.671
34.51,0.706,49.4,2.197
47.82,0.534,71.51,2.012
41.43,0.679,64.42,2.275
59.1,0.874,88.9,3.0
55.26,0.432,85.92,1.951
55.15,0.413,82.37,1.83
44.06,0.764,65.61,2.55
42.44,0.583,60.21,1.969
38.2,0.071,54.96,0.611
31.69,0.892,47.72,2.612
55.94,0.031,82.03,0.869
54.39,0.748,81.71,2.835
59.99,0.759,91.9,2.842
59.9,0.953,92.58,3.0
46.66,0.054,66.78,0.834
53.07,0.597,79.15,2.215
58.34,0.428,84.85,2.01
55.49,0.331,88.22,1.708
37.42,0.09,49.69,0.774
43.52,0.563,65.36,1.942
33.87,0.479,45.53,1.477
58.62,0.105,82.43,1.085
48.19,0.612,72.97,2.172
36.86,0.738,55.75,2.415
50.15,0.767,79.37,2.797
48.54,0.905,75.9,2.962
40.74,0.409,59.35,1.539
33.41,0.953,49.27,2.723
50.15,0.865,80.43,2.932
45.61,0.297,68.61,1.529
53.17,0.159,75.53,1.304
45.6,0.435,67.66,1.792
55.57,0.402,83.6,1.906
46.56,0.576,69.25,2.137
46.83,0.583,71.97,2.091
56.3,0.75,88.24,2.642
42.1,0.51,62.05,1.815
34.02,0.105,46.5,0.676
30.86,0.858,49.53,2.347
52.65,0.31,79.97,1.515
48.61,0.971,75.75,3.0
51.12,0.118,71.24,1.098
36.39,0.958,56.66,2.779
34.09,0.091,48.49,0.636
30.44,0.231,40.0,0.83
40.52,0.047,57.61,0.755
47.7,0.705,71.71,2.281
41.77,0.85,63.49,2.699
43.12,0.434,61.79,1.545
57.12,0.929,88.67,3.0
40.45,0.59,63.04,2.001
45.42,0.63,67.56,2.204
53.51,0.845,84.62,2.902
41.9,0.297,59.2,1.292
48.66,0.354,73.5,1.508
55.87,0.906,86.83,3.0
58.49,0.901,91.69,3.0
34.41,0.976,52.93,2.845
57.8,0.902,91.17,3.0
44.76,0.127,59.25,0.972
37.75,0.824,54.5,2.522
43.77,0.41,65.33,1.616
59.4,0.991,88.9,3.0
44.78,0.472,65.42,1.692
39.86,0.554,58.99,1.894
49.0,0.53,71.93,2.101
37.2,0.322,52.07,1.284
32.28,0.075,44.63,0.468
33.87,0.896,53.58,2.682
33.84,0.803,49.05,2.357
34.56,0.14,46.98,0.797
34.16,0.777,49.86,2.296
49.23,0.626,69.67,2.277
35.46,0.409,51.47,1.391
40.37,0.254,59.99,1.103
56.9,0.86,90.24,2.862
44.22,0.7,65.21,2.376
50.03,0.548,72.83,2.099
35.17,0.61,51.97,1.961
35.77,0.091,51.43,0.665
31.23,0.474,45.11,1.448
35.07,0.194,49.85,0.963
38.36,0.208,56.91,1.068
35.31,0.661,50.99,1.996
32.66,0.911,49.29,2.674
33.62,0.404,51.48,1.452
43.82,0.208,62.97,1.058
36.19,0.649,51.26,2.022
40.93,0.871,61.37,2.739
45.1,0.748,66.78,2.352
50.71,0.869,79.07,2.799
31.18,0.537,43.31,1.586
53.98,0.752,83.43,2.516
48.84,0.14,69.51,1.114
32.45,0.348,41.77,1.061
56.21,0.39,84.88,1.825
57.63,0.511,87.57,2.196
31.83,0.929,49.54,2.636
38.31,0.874,57.19,2.598
54.19,0.135,77.95,1.139
52.45,0.173,77.76,1.181
35.54,0.358,54.04,1.385
36.28,0.291,51.82,0.942
41.11,0.615,62.32,1.986
44.54,0.903,68.03,2.893
48.55,0.962,72.36,3.0
41.07,0.654,63.56,2.216
43.88,0.838,69.05,2.694
52.42,0.525,80.45,2.051
31.1,0.208,42.65,0.819
37.57,0.525,56.46,1.949
51.4,0.555,79.36,2.239
56.86,0.742,90.66,2.733
45.35,0.22,67.86,1.163
45.96,0.368,67.88,1.583
33.22,0.364,44.71,1.341
43.42,0.959,67.54,3.0
45.98,0.444,68.74,1.669
37.27,0.755,57.59,2.476
38.08,0.751,60.14,2.358
41.32,0.266,59.51,1.351
30.6,0.572,48.6,1.757
39.66,0.894,57.31,2.709
36.34,0.475,53.84,1.726
39.82,0.945,59.79,2.883
33.59,0.214,43.22,0.919
56.72,0.074,82.79,0.924
47.81,0.891,70.93,2.938
50.37,0.848,77.36,2.787
53.68,0.993,83.91,3.0
44.95,0.679,70.24,2.258
32.61,0.937,46.78,2.729
46.11,0.827,72.56,2.567
47.61,0.844,73.43,2.746
52.36,0.569,81.25,2.249
42.95,0.382,62.15,1.415
33.83,0.935,49.07,2.727
38.51,0.432,53.78,1.5
40.89,0.539,58.08,1.833
49.38,0.446,74.64,1.935
47.12,0.565,73.74,1.922
40.68,0.471,58.79,1.751
59.6,0.048,88.9,0.974
48.17,0.882,71.32,2.826
37.12,0.444,54.41,1.464
33.05,0.589,49.76,1.894
34.59,0.139,45.28,0.724
37.38,0.003,51.42,0.431
34.82,0.245,50.62,1.018
35.6,0.705,47.32,2.16
38.55,0.099,56.95,0.559
35.2,0.909,54.48,2.637
56.9,0.215,85.77,1.447
32.41,0.205,44.25,0.739
45.74,0.182,62.82,0.981
42.31,0.014,60.85,0.547
59.47,0.772,91.62,2.761
33.36,0.875,50.69,2.553
41.94,0.614,64.96,1.987
59.08,0.188,89.19,1.321
55.97,0.285,87.1,1.529
54.51,0.476,82.38,2.032
37.74,0.954,56.72,2.94
35.13,0.247,49.31,1.0
50.06,0.732,77.32,2.681
57.88,0.439,89.28,1.942
46.7,0.298,65.58,1.445
47.15,0.456,70.19,1.937
38.4,0.071,57.09,0.657
53.08,0.799,81.25,2.649
35.61,0.243,52.3,1.028
39.71,0.725,60.88,2.259
42.76,0.068,62.74,0.704
45.23,0.955,68.48,3.0
37.27,0.193,51.18,0.83
33.45,0.883,50.85,2.6
48.32,0.809,71.1,2.62
38.66,0.968,59.12,2.868
47.44,0.478,71.27,1.903
34.63,0.727,55.34,2.237
44.43,0.371,66.12,1.497
45.98,0.184,67.92,1.028
31.55,0.443,47.47,1.464
40.1,0.166,55.22,1.053
34.03,0.982,52.01,2.764
31.9,0.096,48.47,0.732
59.7,0.589,90.9,2.463
39.67,0.626,61.46,2.169
54.3,0.538,84.03,2.156
37.64,0.662,53.24,2.202
50.45,0.116,74.03,0.919
52.81,0.555,80.11,2.09
47.87,0.287,70.97,1.437
44.15,0.94,66.77,2.957
42.36,0.762,62.11,2.44
40.47,0.973,61.63,2.74
57.89,0.038,84.65,0.917
54.92,0.285,83.95,1.417
58.95,0.195,91.13,1.407
33.73,0.011,48.83,0.387
51.93,0.242,78.26,1.294
58.15,0.679,87.1,2.771
35.44,0.231,49.27,1.07
31.99,0.509,46.67,1.697
52.23,0.888,79.64,3.0
47.23,0.694,72.89,2.443
55.25,0.395,84.22,1.73
34.19,0.372,50.02,1.244
53.86,0.456,82.96,1.994
36.05,0.177,48.93,0.699
34.91,0.634,53.53,1.977
34.93,0.364,48.68,1.135
54.44,0.852,82.33,2.928
49.96,0.757,77.53,2.659
45.69,0.611,71.2,2.162
40.76,0.364,60.39,1.501
56.32,0.21,83.41,1.508
41.77,0.776,64.11,2.464
54.5,0.486,82.39,2.231
43.17,0.225,60.18,1.142
41.31,0.195,56.78,1.09
43.88,0.165,63.04,0.942
39.04,0.777,59.29,2.553
52.43,0.229,77.28,1.404
45.08,0.527,68.64,2.036
36.97,0.452,53.42,1.573
56.99,0.58,87.78,2.188
41.52,0.877,63.4,2.76
46.31,0.868,74.94,2.66
57.19,0.451,86.38,1.945
48.73,0.015,74.74,0.728
33.51,0.426,48.87,1.626
58.19,0.606,88.32,2.405
48.83,0.558,71.68,2.082
40.05,0.651,57.1,2.124
34.18,0.154,45.63,0.661
53.82,0.647,80.23,2.4
48.6,0.183,71.65,1.137
46.0,0.751,69.06,2.419
56.82,0.339,85.32,1.589
53.66,0.71,84.68,2.509
34.55,0.048,47.39,0.516
39.35,0.408,61.57,1.47
37.45,0.705,53.81,2.128
52.32,0.227,76.77,1.337
31.01,0.795,45.3,2.351
47.1,0.631,73.01,2.229
52.87,0.588,75.64,2.181
56.3,0.354,81.32,1.758
40.26,0.482,59.1,1.696
54.64,0.597,86.11,2.191
33.32,0.472,48.6,1.63
55.39,0.698,82.12,2.582
33.82,0.434,46.33,1.451
41.92,0.202,63.63,0.918
53.92,0.214,78.31,1.254
34.5,0.006,45.34,0.566
36.88,0.301,55.76,1.069
51.67,0.749,81.18,2.586
51.6,0.794,81.87,2.716
49.23,0.202,70.09,1.216
50.82,0.959,76.01,2.994
46.28,0.502,69.33,1.896
37.55,0.917,58.26,2.609
40.37,0.707,61.56,2.282
35.45,0.722,56.01,2.163
57.25,0.085,80.65,0.988
47.5,0.22,71.04,1.267
42.03,0.009,57.1,0.544
43.86,0.716,68.18,2.405
58.42,0.344,86.59,1.77
34.6,0.787,50.45,2.46
47.59,0.339,68.95,1.402
45.18,0.819,66.31,2.725
48.34,0.131,70.21,0.995
30.54,0.173,40.36,0.714
56.16,0.341,85.48,1.584
57.96,0.408,88.47,1.929
46.95,0.349,72.59,1.437
50.9,0.764,78.75,2.669
57.67,0.097,85.9,1.25
51.22,0.351,78.85,1.681
34.58,0.837,51.09,2.596
47.29,0.067,65.09,0.755
48.2,0.942,75.18,3.0
42.72,0.986,63.43,2.929
52.09,0.089,80.79,0.945
58.03,0.291,89.51,1.728
57.77,0.372,90.99,1.738
43.53,0.776,66.42,2.6
33.4,0.596,50.11,1.939
59.55,0.644,90.22,2.588
55.17,0.758,86.58,2.596
33.74,0.118,44.26,0.712
57.63,0.833,84.11,2.923
56.1,0.706,84.41,2.673
45.57,0.577,65.46,1.922
47.74,0.89,76.68,2.909
41.97,0.7,66.99,2.308
31.64,0.202,41.03,0.678
40.06,0.43,61.25,1.505
54.09,0.494,83.4,1.87
30.14,0.055,40.0,0.383
40.0,0.955,60.96,2.931
41.95,0.129,58.72,0.876
46.12,0.697,71.48,2.38
57.6,0.506,84.73,2.034
40.39,0.026,56.58,0.662
40.41,0.925,60.83,2.819
52.13,0.852,81.46,2.875
43.57,0.524,64.42,1.957
36.74,0.229,51.08,0.928
43.57,0.122,62.02,0.894
34.23,0.363,53.01,1.327
35.29,0.255,49.17,1.001
44.95,0.507,64.88,1.918
42.57,0.966,67.07,3.0
57.45,0.575,87.08,2.278
40.87,0.89,59.9,2.732
47.42,0.651,76.24,2.317
48.97,0.475,72.5,1.931
30.39,0.855,45.0,2.449
49.91,0.471,75.0,1.966
35.34,0.869,57.22,2.631
58.83,0.292,84.52,1.463
34.46,0.129,48.46,0.599
42.44,0.855,69.21,2.782
32.56,0.587,47.88,1.8
59.91,0.889,90.71,3.0
45.07,0.938,68.5,3.0
47.86,0.054,69.31,0.791
32.01,0.501,48.89,1.596
52.5,0.375,77.57,1.618
36.3,0.626,55.48,2.02
56.94,0.794,85.0,2.87
36.15,0.281,48.64,1.078
35.72,0.557,51.53,1.733
31.1,0.709,48.88,2.304
44.16,0.134,63.6,0.912
46.95,0.814,72.58,2.619
31.97,0.606,47.35,1.911
53.27,0.95,85.14,3.0
43.6,0.34,62.57,1.334
45.73,0.108,67.2,0.924
43.22,0.507,62.53,1.762
42.02,0.086,63.72,0.881
46.79,0.97,71.08,3.0
34.66,0.039,45.92,0.468
35.46,0.754,54.35,2.302
55.85,0.525,84.68,2.202
58.38,0.369,88.28,1.804
